Unnamed: 0,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11
Drivmidler i alt,2367154,2371240,2378003,2387222,2395248,2401816,2405350,2412346,2413832,2414522,2416655,2416375,2422577,2426456,2435896,2441085,2448160,2453645,2457094,2463558,2466357,2466891,2468756,2468863,2475326,2478385,2480807,2488317,2497653,2508291,2518361,2525993,2530283,2533497,2537291,2542298,2542520,2544335,2555329,2562956,2571423,2579995,2585944,2592745,2595568,2595565,2596043,2599197,2600643,2602081,2605439,2609944,2612548,2614723,2615143,2615771,2613057,2608260,2606961
Benzin,1677403,1678796,1682133,1687609,1691967,1694611,1695570,1698826,1698867,1698261,1699254,1698641,1702639,1705867,1712498,1715922,1720399,1723421,1724755,1728805,1730226,1730587,1731783,1730952,1734906,1736801,1737977,1743126,1748810,1754936,1760258,1764306,1765615,1765742,1766553,1766658,1765537,1765643,1770210,1774587,1778216,1780654,1782025,1783299,1781365,1777795,1774389,1771526,1771277,1770235,1769202,1770158,1769618,1767451,1765113,1763644,1760114,1755730,1752948
Diesel,682486,684924,688049,691374,694782,698383,700600,703848,704933,705835,706587,706693,708375,708499,710464,711626,713646,715180,716665,718396,718818,718353,718263,718041,719556,719738,719438,720889,723557,725903,727744,728188,727714,728178,727708,726983,726296,725921,725990,724997,725184,724763,724344,722951,720472,717248,713584,710385,708248,706443,704281,702997,700744,698863,697242,694251,689972,685686,682115
F-gas,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,4,4,5,5,5,5,5,5,4,3,3,3,3,3,4,5,4,4,3,3,3,3
N-gas,13,12,13,13,13,16,16,17,17,17,17,17,18,18,18,20,20,21,22,22,22,22,22,22,22,22,22,20,20,19,18,19,19,19,19,19,19,19,20,22,22,22,22,22,22,23,25,27,27,27,27,26,26,26,26,27,27,27,27
El,5656,5680,5739,5870,5937,6039,6087,6164,6340,6519,6650,6750,6924,7109,7534,7887,8196,8840,9112,9454,10108,10314,10625,11464,11854,12300,13290,13694,14122,14978,15507,16493,18600,19845,21606,24751,25359,25967,28012,29415,30843,33455,35347,38840,42863,46104,50152,55046,57456,60067,64556,67632,71021,74999,77804,81068,84391,86824,90170
Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brint,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,9,8,7,7,7,6,6,6,6,7,8,9,10,10,13,14,14,14,14,13,15,17,17,18,18,18,17,17,18,18,19,19,19,19,19,20,19,18,19
Metanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ætanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pluginhybrid,1585,1816,2057,2344,2537,2755,3065,3478,3662,3877,4135,4262,4609,4951,5370,5618,5886,6169,6526,6867,7168,7602,8051,8372,8976,9513,10069,10577,11132,12441,14819,16971,18319,19697,21386,23867,25289,26765,31078,33916,37137,41078,44183,47609,50822,54372,57872,62192,63613,65287,67350,69107,71114,73360,74934,76757,78530,79971,81678
Øvrige drivmidler,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
