"minutes","u","y"
0,0.01,0
1,0,0
2,0,0
3,0,0
4,0.047,0
5,0.009,0
6,0,0
7,0.039,0
8,0.024,0
9,0,0
10,0,0
11,0.065,0
12,0,0
13,0,0
14,0,0
15,0.028,0
16,0,0
17,0.046,0
18,0.092,0
19,0.061,0
20,0.03,0
21,0.023,0
22,0.051,0
23,0.048,0
24,0.063,0
25,0.02,0
26,0.1,0
27,0.122,0
28,0.19,0
29,0.17,0
30,0.167,0
31,0.258,0
32,0.129,0
33,0.105,0
34,0.138,0
35,0.229,0
36,0.105,0
37,0.149,0
38,0.198,0.662
39,0.23,0.958
40,0.24,0
41,0.303,0.295
42,0.462,0.435
43,0.303,0
44,0.177,0.742
45,0.364,0.003
46,0.143,0.867
47,0.188,0.161
48,0.434,0.148
49,0.347,0.922
50,0.443,0.19
51,0.355,0
52,0.567,0.191
53,0.584,0.121
54,0.365,1.182
55,0.336,0.883
56,0.436,0.528
57,0.786,0
58,0.682,0.387
59,0.687,0.11
60,0.685,0.197
61,0.842,0.951
62,0.623,1.209
63,0.957,0.164
64,0.565,0.775
65,0.773,0.058
66,0.551,1.061
67,0.646,0.551
68,0.408,1.152
69,0.951,1.174
70,0.556,0.905
71,0.519,0.381
72,0.926,0
73,0.815,0.366
74,0.617,0.237
75,1.138,0.377
76,0.565,0.479
77,0.755,1.244
78,0.732,1.765
79,0.901,1.356
80,1.063,1.321
81,0.875,0
82,1.454,1.146
83,1.202,1.477
84,0.702,1.338
85,1.006,2.034
86,0.692,0.403
87,0.91,0.699
88,0.955,0.547
89,0.865,0.734
90,0.679,1.695
91,0.868,2.131
92,1.14,1.718
93,0.977,2.607
94,1.112,2.239
95,0.761,2.203
96,0.442,1.471
97,0.306,1.483
98,0.432,1.449
99,0.483,3.516
100,0.734,2.057
101,0.652,3.671
102,0.408,2.138
103,0.947,2.402
104,0.477,2.783
105,0.534,2.828
106,0.548,2.462
107,0.288,3.364
108,0.574,3.598
109,0.276,3.435
110,0.179,3.245
111,0.139,3.722
112,0.261,4.222
113,0.117,5.117
114,0.208,5.5
115,0.138,4.798
116,0.177,4.491
117,0.115,4.092
118,0.029,6.119
119,0.011,5.155
120,0.04,5.762
121,0,4.698
122,0.011,6.462
123,0.009,6.468
124,0.046,6.385
125,0.063,8.148
126,0.041,7.04
127,0.094,8.267
128,0.031,7.7
129,0.02,6.744
130,0.111,8.282
131,0.071,7.693
132,0.098,8.312
133,0.118,8.487
134,0.161,8.311
135,0.043,9.35
136,0.089,8.685
137,0.067,8.057
138,0.075,8.77
139,0.055,8.814
140,0.125,8.397
141,0.348,8.084
142,0.069,9.922
143,0.199,9.855
144,0.127,10.116
145,0.176,9.658
146,0.075,8.864
147,0.08,9.495
148,0.069,8.893
149,0.172,9.435
150,0.224,8.564
151,0.403,9.882
152,0.06,9.392
153,0.274,7.292
154,0.296,9.269
155,0.473,8.228
156,0.517,10.098
157,0.287,9.361
158,0.597,11.511
159,0.468,10.304
160,0.602,9.666
161,0.325,12.112
162,0.541,12.11
163,0.647,10.873
164,0.768,13.018
165,0.734,10.532
166,0.512,12.849
167,0.834,13.075
168,0.62,13.332
169,0.679,13.839
170,0.878,14.901
171,1.121,13.347
172,0.763,13.382
173,1.173,14.151
174,0.775,13
175,0.919,14.106
176,1.248,14.113
177,0.993,12.968
178,1.496,14.731
179,0.692,14.948
180,1.222,12.62
181,1.046,13.365
182,1.375,13.93
183,1.127,13.663
184,0.881,13.801
185,0.916,14.706
186,0.78,14.862
187,0.964,15.004
188,1.254,16.123
189,1.495,16.107
190,1.255,16.657
191,1.081,14.597
192,1.535,15.957
193,0.863,15.988
194,1.355,14.444
195,1.413,15.2
196,1.43,17.087
197,0.732,16.606
198,0.772,16.715
199,1.105,16.113
200,1.312,16.712
201,1.899,17.406
202,1.783,17.759
203,1.205,19.094
204,0.704,17.661
205,0.959,18.046
206,0.967,19.587
207,0.83,19.021
208,0.706,19.33
209,0.563,21.929
210,0.961,20.361
211,0.37,20.848
212,0.454,20.378
213,0.266,21.118
214,0.41,21.791
215,0.173,21.671
216,0.091,20.952
217,0.08,20.628
218,0,21.083
219,0,22.214
220,0,22.149
221,0,25.208
222,0,23.357
223,0,23.27
224,0,23.525
225,0,24.283
226,0,24.353
227,0,23.456
228,0,23.835
229,0,23.325
230,0,22.211
231,0,23.364
232,0,22.136
233,0,23.401
234,0,24.744
235,0,25.707
236,0,23.04
237,0,23.933
238,0,25.42
239,0,25.165
240,0,24.599
241,0,23.18
242,0,22.542
243,0,24.046
244,0,22.442
245,0,23.63
246,0,24.731
247,0,24.113
248,0,23.514
249,0,23.714
250,0,23.633
251,0,24.778
252,0,24.272
253,0,24.453
254,0,24.919
255,0,26.399
256,0,26.54
257,0,25.175
258,0,26.716
259,0,26.774
260,0,27.386
261,0,27.802
262,0,26.671
263,0,25.707
264,0,25.809
265,0,26.543
266,0,27.686
267,0,28.409
268,0,27.488
269,0,28.162
270,0,28.937
271,0,30.292
272,0,28.696
273,0,28.857
274,0,28.837
275,0,28.779
276,0,27.695
277,0,26.118
278,0,27.496
279,0,26.488
280,0,25.531
281,0,25.188
282,0,25.364
283,0,24.978
284,0,25.287
285,0,23.854
286,0,23.831
287,0,24.276
288,0,23.151
289,0,23.287
290,0,24.184
291,0,24.652
292,0,25.57
293,0,24.922
294,0,24.322
295,0,25.515
296,0,23.541
297,0,21.627
298,0,22.621
299,0,21.953
300,0,23.93
301,0,22.674
302,0,22.348
303,0,24.229
304,0,24.645
305,0,24.067
306,0,22.225
307,0,22.104
308,0,23.064
309,0,23.39
310,0,22.79
311,0,21.74
312,0,21.638
313,0,18.985
314,0,20.83
315,0,20.374
316,0,20.603
317,0,20.047
318,0,19.68
319,0,19.093
320,0,19.693
321,0,18.187
322,0,17.978
323,0,16.789
324,0,17.877
325,0,18.004
326,0,17.34
327,0,16.804
328,0,17.553
329,0,18.192
330,0,15.669
331,0,16.797
332,0,16.541
333,0,16.185
334,0,16.327
335,0,14.631
336,0,14.152
